"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","black_population","total_population","cty_percentage"
"467","Georgia","G1201290","44","13","1130","Fayette",NA,2371166,18674014,0.126976771035943
"468","Georgia","G1201310","44","13","1150","Floyd",NA,473650,5966948,0.0793789387807636
"469","Georgia","G1201330","44","13","1170","Forsyth",NA,2617558,14036562,0.186481419025542
"470","Georgia","G1300010","44","13","1190","Franklin",NA,8205618,53658684,0.152922460789385
"471","Georgia","G1300030","44","13","1210","Fulton",NA,10967506,28762146,0.381317374579769
"472","Georgia","G1300050","44","13","1230","Gilmer",NA,30760,916866,0.0335490682389793
"473","Georgia","G1300070","44","13","1250","Glascock",NA,6502,72546,0.0896258925371488
"474","Georgia","G1300090","44","13","1270","Glynn",NA,533844,1996996,0.26732351992693
"475","Georgia","G1300110","44","13","1290","Gordon",NA,57000,1363652,0.0417995206988293
"476","Georgia","G1300130","44","13","1310","Grady",NA,206220,1903318,0.108347632923137
"477","Georgia","G1300150","44","13","1330","Greene",NA,1281880,18860946,0.0679647775885685
