STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
Georgia,Forsyth,Naur,Naur,Yes
Georgia,Franklin,Naur,Yes,Yes
Georgia,Fulton,Naur,Naur,Yes
Georgia,Gilmer,Naur,Naur,Yes
Georgia,Glascock,Naur,Yes,Yes
Georgia,Glynn,Naur,Yes,Yes
Georgia,Gordon,Naur,Naur,Yes
Georgia,Grady,Naur,Yes,Yes
Georgia,Greene,Naur,Yes,Yes
Georgia,Gwinnett,Naur,Naur,Yes
Georgia,Habersham,Naur,Naur,Yes
Georgia,Hall,Naur,Naur,Yes
Georgia,Hancock,Naur,Yes,Yes
Georgia,Haralson,Naur,Naur,Yes
Georgia,Harris,Naur,Yes,Yes
Georgia,Hart,Naur,Yes,Yes
Georgia,Heard,Naur,Naur,Yes
Georgia,Henry,Naur,Naur,Yes
Georgia,Houston,Naur,Yes,Yes
Georgia,Irwin,Naur,Yes,Yes
Georgia,Jackson,Naur,Naur,Yes
Georgia,Jasper,Naur,Yes,Yes
Georgia,Jeff Davis,Naur,Yes,Yes
Georgia,Jefferson,Naur,Yes,Yes
Georgia,Jenkins,Naur,Yes,Yes
Georgia,Johnson,Naur,Yes,Yes
Georgia,Jones,Naur,Yes,Yes
Georgia,Lamar,Naur,Yes,Yes
Georgia,Lanier,Naur,Yes,Yes
Georgia,Laurens,Naur,Yes,Yes
Georgia,Lee,Naur,Yes,Yes
Georgia,Liberty,Naur,Yes,Yes
Georgia,Lincoln,Naur,Yes,Yes
Georgia,Long,Naur,Yes,Yes
Georgia,Lowndes,Naur,Yes,Yes
Georgia,Lumpkin,Naur,Naur,Yes
Georgia,Macon,Naur,Yes,Yes
Georgia,Madison,Naur,Yes,Yes
Georgia,Marion,Naur,Yes,Yes
Georgia,McDuffie,Naur,Yes,Yes
Georgia,McIntosh,Naur,Yes,Yes
Georgia,Meriwether,Naur,Naur,Yes
Georgia,Miller,Naur,Yes,Yes
Georgia,Milton,Naur,Yes,Yes
Georgia,Mitchell,Naur,Yes,Yes
Georgia,Monroe,Naur,Yes,Yes
Georgia,Montgomery,Naur,Yes,Yes
Georgia,Morgan,Naur,Yes,Yes
Georgia,Murray,Naur,Naur,Yes
Georgia,Muscogee,Naur,Yes,Yes
Georgia,Newton,Naur,Naur,Yes
Georgia,Oconee,Naur,Yes,Yes
Georgia,Oglethorpe,Naur,Yes,Yes
Georgia,Paulding,Naur,Naur,Yes
Georgia,Peach,Naur,Yes,Yes
Georgia,Pickens,Naur,Naur,Yes
